brand,price,os_name,Processor,RAM Size GB,Storage Size GB,battery_capacity,Dual_Sim,Screen_Size,Refresh_Rate,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,fast_charging_power,4G,5G,Vo5G,NFC,IR_Blaster,Core_Count,Clock_Speed_GHz,Resolution_Width,Resolution_Height,Notch_Type,os_version,rating,b_r,Processor_Category,price_Category,RAM Size GB_Category,Storage Size GB_Category,battery_capacity_Category,fast_charging_power_Category,os_version_Category,Screen_Size_Category,primary_rear_camera_mp_Category,primary_front_camera_mp_Category,Clock_Speed_GHz_Category,Resolution_Width_Category,Resolution_Height_Category,rating_Category
OnePlus,54999,Android,Snapdragon_8 Gen2,12.0,256.0,5000.0,Yes,6.7,120.0,50.0,3.0,16.0,1.0,No,100,Yes,Yes,No,Yes,No,8.0,3.2,1440.0,3216.0,Punch Hole,13.0,89.0,Other,snapdragon,Flagship,8-18 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,40-60 mp,8-16 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,80-90 rating
OnePlus,19989,Android,Snapdragon_695,6.0,128.0,5000.0,Yes,6.59,120.0,64.0,3.0,16.0,1.0,Yes,33,Yes,Yes,No,No,No,8.0,2.2,1080.0,2412.0,Punch Hole,12.0,81.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Samsung,16499,Android,Exynos_1330,4.0,64.0,5000.0,Yes,6.6,90.0,50.0,3.0,13.0,1.0,Yes,15,Yes,Yes,No,No,No,8.0,2.4,1080.0,2408.0,Water Drop Notch,13.0,75.0,Samsung,exynos,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Motorola,14999,Android,Snapdragon_695,6.0,128.0,5000.0,Yes,6.55,120.0,50.0,3.0,16.0,1.0,Yes,0,Yes,Yes,No,No,No,8.0,2.2,1080.0,2400.0,Punch Hole,12.0,81.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Realme,24999,Android,Dimensity_1080,6.0,128.0,5000.0,Yes,6.7,120.0,108.0,3.0,16.0,1.0,No,67,Yes,Yes,No,No,No,8.0,2.6,1080.0,2412.0,Punch Hole,13.0,82.0,Realme,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Samsung,16999,Android,Snapdragon_750,6.0,128.0,5000.0,Yes,6.6,120.0,50.0,3.0,8.0,1.0,Yes,25,Yes,Yes,No,Yes,No,8.0,2.2,1080.0,2408.0,Water Drop Notch,12.0,80.0,Samsung,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Apple,65999,iOS,Bionic_15,6.0,128.0,3279.0,Yes,6.1,60.0,12.0,2.0,12.0,1.0,No,0,Yes,Yes,No,Yes,No,6.0,3.22,1170.0,2532.0,Small Notch,16.0,81.0,Apple,bionic,Flagship,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,8-16 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,80-90 rating
Xiaomi,29999,Android,Dimensity_1080,8.0,256.0,4980.0,Yes,6.67,120.0,200.0,3.0,16.0,1.0,No,120,Yes,Yes,No,No,Yes,8.0,2.6,1080.0,2400.0,Punch Hole,12.0,86.0,Xiaomi,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Nothing,26749,Android,Snapdragon_778,8.0,128.0,4500.0,Yes,6.55,120.0,50.0,2.0,16.0,1.0,Yes,33,Yes,Yes,No,Yes,No,8.0,2.5,1080.0,2400.0,Punch Hole,12.0,85.0,Other,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
OnePlus,28999,Android,Dimensity_1300,8.0,128.0,4500.0,Yes,6.43,90.0,50.0,3.0,32.0,1.0,Yes,80,Yes,Yes,No,Yes,No,8.0,2.4,1080.0,2400.0,Punch Hole,12.0,84.0,Other,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
